bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,price
4,2,1480,8625,1,0,0,4,1480,0,1974,0,260000
2,1,850,6174,1,0,0,4,850,0,1950,1983,308500
3,2.5,1770,2875,2,0,0,3,1770,0,1990,2009,439950
2,1,1210,9400,1,0,0,2,1210,0,1949,0,235000
3,1,1160,9180,1,0,0,3,1160,0,1968,1997,315000
3,2.25,1970,35100,2,0,0,4,1970,0,1977,0,437500
3,2.5,1930,10460,2,0,0,3,1930,0,1996,0,407500
3,2.5,1270,1180,3,0,0,3,1270,0,2001,0,445700
4,2.5,3310,42998,2,0,0,3,3310,0,2001,0,838000
4,2.75,2710,37277,2,0,0,3,2710,0,2000,0,630000
3,1.75,2910,35200,1.5,0,0,3,2910,0,1979,2014,550000
3,2,2710,4500,1.5,0,0,4,1880,830,1929,0,805000
3,1.75,1800,23103,1,0,0,3,1800,0,1968,1997,284000
5,2.5,2210,9655,1,0,0,3,1460,750,1976,0,470000
4,1.5,1920,10000,1,0,0,4,1070,850,1954,1979,430000
4,1.75,2190,125452,1,0,2,3,2190,0,1968,1997,491500
5,3.25,3660,11995,2,0,2,3,3660,0,2006,0,785000
3,3.25,1320,1327,2,0,0,3,1040,280,2008,0,385000
2,2.5,1630,1368,2,0,0,3,1280,350,2009,0,295000
4,2.5,3310,6500,2,0,0,3,3310,0,2012,1912,555000
3,2.5,2680,5539,2,0,0,3,2680,0,2013,1923,459990
4,3.25,2730,54014,1,0,0,3,1560,1170,2007,0,625000
3,2.5,2540,5050,2,0,0,3,2540,0,2006,0,300000
4,2.75,2920,6605,2,0,0,3,2920,0,2012,1912,625000
2,1,900,5000,1,0,0,3,900,0,1944,0,553000
3,2.5,1650,14054,1,0,0,4,1130,520,1986,0,379880
3,1,1010,9945,1,0,0,4,1010,0,1973,0,310000
2,2.5,2680,7392,1,0,0,3,2680,0,2004,2003,775000
3,2.5,2200,7350,1,0,0,5,1570,630,1988,0,365000
4,2.5,2530,9933,2,0,2,3,2010,520,1990,2009,331950
3,2.5,2850,7130,2,0,0,3,1990,860,1980,0,783500
4,2,2280,6010,1,0,0,3,1140,1140,1900,2005,628000
3,2.5,1900,8744,2,0,0,3,1900,0,1987,2000,560000
3,1,1330,77972,1,0,0,3,1330,0,1928,1954,900000
2,3,1270,1175,2,0,0,3,1110,160,2000,0,531000
4,3,2170,4000,2,0,0,4,1610,560,1982,2011,831000
4,2.5,2730,10281,2,0,2,3,2730,0,1996,0,780000
4,2.5,2120,10202,1,0,0,4,1620,500,1960,2001,755000
3,2.5,2490,4343,2,0,0,3,2490,0,2003,0,705380
4,2.25,1990,7712,1,0,0,3,1210,780,1973,2013,627000
4,3,3690,9892,2,0,0,3,3690,0,1998,2006,865000
2,1,2540,7000,1,0,0,5,1320,1220,1942,0,580000
3,2.25,1800,36704,1,0,0,4,1360,440,1978,2000,410000
4,3,2340,7048,1,0,0,4,1340,1000,1979,0,485000
2,1.75,2110,9519,1,0,0,2,2110,0,1948,0,400000
2,1,1140,5400,1,0,0,5,1140,0,1908,0,549000
3,1.75,1480,2185,2.5,0,0,3,1480,0,2005,0,620000
2,3,1410,1240,2,0,0,3,1140,270,2006,0,405000
2,1,1200,8063,1,0,0,4,1200,0,1958,1972,232000
5,2.5,3180,13806,2,0,0,4,3180,0,1990,0,800866
3,1.5,2160,9000,1,0,2,4,1400,760,1949,1985,650000
6,1.75,2920,5000,2.5,0,0,4,2780,140,1908,0,823000
3,2,2350,5700,1.5,0,0,4,1810,540,1939,1989,770000
3,1.75,1560,5520,1,0,0,4,780,780,1944,0,524000
5,2.75,2740,8426,1,0,0,4,1370,1370,1960,2001,541125
3,2.5,1680,2000,3,0,0,3,1680,0,1909,1998,670000
5,2.5,3090,12750,1,0,0,3,1750,1340,1968,1997,384900
3,2.25,1410,1332,3,0,0,3,1410,0,2005,0,406100
5,3.5,4010,8510,2,0,1,5,2850,1160,1971,0,1395000
4,2.5,3180,21904,2,0,3,3,3180,0,2000,0,736500
3,2.25,2010,6000,1,0,0,3,1330,680,1975,0,570000
3,1.75,1330,7500,1,0,0,3,1330,0,1961,2004,787000
4,2.5,2370,6500,2,0,0,3,2370,0,1998,2006,328000
5,2,1840,9240,1,0,0,4,1540,300,1942,1958,435000
4,2.5,2910,6479,2,0,0,3,2910,0,2006,0,499000
4,1,2070,7519,1,0,0,3,1160,910,1963,2008,501000
4,2.5,4340,141570,2.5,0,0,3,4340,0,1992,0,1090000
2,1,840,5510,1,0,0,3,840,0,1955,2005,400000
4,1.5,1240,9600,1,0,0,3,1240,0,1971,0,220000
4,1,1390,4240,1,0,0,3,1050,340,1924,2011,657100
4,2.75,2310,5000,2,0,0,3,2310,0,2006,0,309950
3,2,1050,10072,1,0,0,3,1050,0,1986,0,300000
5,1.75,2550,71874,1,0,0,5,1810,740,1960,0,525888
4,1.75,2010,3600,1.5,0,0,3,2010,0,1902,0,740000
5,1,1120,9022,1.5,0,0,4,1120,0,1962,0,340000
3,2.5,2230,4000,2,0,0,3,2230,0,1954,2005,398750
2,1,810,7158,1,0,0,5,810,0,1944,0,206000
5,2.75,3190,16920,1,0,3,3,1690,1500,1976,0,1030000
3,1.75,1670,39639,1,0,0,4,1670,0,1976,1992,600000
4,1.75,1970,9389,1,0,0,5,1140,830,1960,0,379950
3,1,1450,6000,1,0,0,4,1450,0,1953,1983,287000
7,8,13540,307752,3,0,4,3,9410,4130,1999,0,2280000
3,2.5,1880,7838,2,0,0,3,1880,0,1994,0,309950
3,1.75,1880,6360,1,0,0,4,1040,840,1945,0,600000
3,2,1410,6030,1.5,0,0,4,1410,0,1930,0,418000
4,2,1480,3844,1.5,0,0,5,1480,0,1928,1970,449250
2,1,1140,5250,1.5,0,0,4,1140,0,1949,1985,329950
3,1.75,1920,9306,1,0,0,3,1000,920,1984,0,245000
4,2.5,2910,6338,2,0,0,3,2910,0,2008,0,549000
3,2.5,3240,7857,2,0,0,3,3240,0,1994,0,800000
3,2,1550,15040,1,0,0,4,1550,0,1958,1972,249950
5,2,2050,10200,1,0,0,3,1430,620,1956,2001,210000
2,2.5,2220,4000,2,0,0,3,2220,0,2000,0,1425000
2,1,1770,8640,1.5,0,0,3,1520,250,1949,1998,585000
4,1.75,2300,11700,1,0,0,4,1960,340,1977,0,615000
3,2,1800,5000,1,0,0,4,1080,720,1942,1982,618500
4,1.75,2010,9211,1,0,0,3,1470,540,1977,2004,487585
3,2.5,1790,2700,2,0,0,3,1790,0,2010,0,509900
4,2.5,2440,6651,2,0,0,3,2440,0,2014,0,631625
3,2.5,1940,3211,2,0,0,3,1940,0,2009,0,555000
2,1.5,1160,1438,2,0,0,3,1160,0,2001,0,340000
4,2.5,3400,9692,2,0,0,3,3400,0,2007,0,830000
4,4.25,4420,5750,2,0,0,3,3410,1010,2006,0,890000
3,3,1571,2017,3,0,0,3,1571,0,2008,0,366750
3,2.25,1620,998,2.5,0,0,3,1540,80,2010,0,415000
3,2.5,1408,989,3,0,0,3,1408,0,2005,0,416286
3,2.5,3040,4535,2,0,0,3,3040,0,2007,0,478000
5,3.5,4490,6000,2,0,0,3,3200,1290,2006,0,890000
2,2.5,1590,1426,2,0,0,3,1590,0,2014,0,419190
4,2.5,2450,4247,2,0,0,3,2450,0,2013,1923,712198
4,2,1440,7680,1,0,0,3,1200,240,1971,0,397000
2,2,1100,3000,1.5,0,0,3,1100,0,1912,2005,450000
3,1,1350,7740,1,0,0,4,860,490,1947,1988,353000
4,2.5,2150,37981,2,0,0,3,2150,0,1985,0,609000
3,1.75,1490,8366,1,0,0,4,1010,480,1975,0,234000
3,2,2000,7000,2,0,0,3,2000,0,1916,1986,561000
2,1,1030,4400,1,0,0,3,1030,0,1924,2011,469000
2,1,720,6687,1,0,0,3,720,0,1942,1999,329350
5,2,2020,5000,1.5,0,0,4,2020,0,1938,0,488000
3,1.75,1580,8151,1,0,1,4,1100,480,1962,0,279900
4,2.5,2110,13850,2,0,0,3,2110,0,1987,2000,606000
4,2,1300,7054,1,0,0,3,1300,0,1950,2013,312000
3,1.5,1630,7475,1,0,1,3,1160,470,1940,1996,650000
4,2.75,3370,8103,1,0,3,3,1970,1400,1970,2014,1135000
4,2.5,1890,6156,1,0,0,3,980,910,1980,0,325000
4,2,1520,7983,1,0,0,5,1520,0,1967,0,425000
2,1,900,5160,1,0,0,3,900,0,1952,2008,219000
3,1,1050,6874,1,0,0,3,1050,0,1954,2005,250000
3,1.75,1260,6500,1,0,0,4,1260,0,1966,0,390000
6,3,3470,117612,1.5,0,0,3,3470,0,1924,2011,475000
4,2.5,2290,12047,2,0,0,4,2290,0,1988,0,736000
4,2.25,2810,23400,1,0,1,3,1710,1100,1958,2004,407000
3,2.5,1650,13816,2,0,0,3,1650,0,1998,2006,272000
3,2.25,1640,14374,1,0,0,4,1140,500,1963,0,362000
3,2.5,1850,10109,2,0,0,3,1850,0,1991,0,535000
4,2.5,2000,5390,2,0,0,3,2000,0,2003,0,284000
3,1.5,1410,9647,1,0,0,3,1410,0,1961,2004,367500
4,1.75,1500,11600,1,0,0,4,1000,500,1955,2009,379900
3,2.5,2460,54885,2,0,0,4,2460,0,1980,0,520000
3,1,1010,7034,1,0,0,3,1010,0,1954,2005,175000
2,2.25,1230,929,2,0,0,3,1020,210,2004,2003,460000
4,2.5,2331,3826,2,0,0,3,2331,0,2007,0,345000
5,2.5,2240,7770,1,0,0,3,1340,900,1978,0,455000
4,3,2450,10117,1,0,0,5,1580,870,1967,0,610000
4,3,3100,15480,2,0,0,3,2400,700,1996,0,563000
4,2,2060,5000,1,0,0,3,1030,1030,1949,2013,612500
3,1.75,1850,7684,1,0,0,3,1320,530,1979,2014,218000
4,1.75,1840,10720,1,0,0,3,960,880,1958,2004,404000
4,2,3740,32417,2,0,0,3,3740,0,2000,0,860000
3,1.5,1420,8580,1,0,0,3,1420,0,1962,2003,136500
3,1,1510,6083,1,0,0,4,860,650,1940,2001,313950
3,1.75,2130,6500,1,0,2,3,1170,960,1954,2005,575000
4,2.25,3490,6906,2,0,0,4,2280,1210,1928,0,1225000
3,1.75,1630,11800,1,0,0,4,1630,0,1971,0,280000
3,2.5,1790,7167,2,0,0,3,1790,0,1989,0,515000
4,2.5,2000,5684,2,0,0,3,2000,0,1996,0,513000
4,2.25,2260,29930,2,0,0,4,1400,860,1977,0,599000
4,2.5,3030,7864,2,0,0,3,3030,0,1999,0,685000
3,1.5,1310,8160,1,0,0,3,1310,0,1950,2005,365000
4,2.5,3880,14550,2,0,0,3,3880,0,1987,2000,762300
4,3.25,3760,10920,1.5,0,0,5,2400,1360,1950,0,1580000
5,2.25,3040,8111,2,0,0,3,3040,0,1984,0,562000
5,2.5,2910,9636,1,0,0,4,1690,1220,1964,0,530000
3,2.5,2970,11985,1,0,0,3,1770,1200,1995,0,525000
2,1.75,1660,6000,1,0,0,3,1160,500,1942,1999,484000
4,2.5,3200,12369,2,0,0,3,3200,0,1998,2006,725126
4,2,2680,18768,1,0,0,5,2680,0,1965,0,360000
3,1,1230,9568,1,0,0,5,1230,0,1962,0,387000
4,2.5,2740,45732,2,0,0,3,2740,0,1995,0,483500
4,3.5,3380,8330,2,0,0,3,3380,0,2000,0,655500
3,1,1110,6250,1,0,0,3,1110,0,1956,2001,345000
5,2.75,1800,3780,1.5,0,0,3,1400,400,1926,2003,533000
3,1.75,1900,5520,1,0,0,3,1280,620,1982,0,385000
2,1,930,36478,1,0,2,3,930,0,1951,1994,675000
3,1.75,1690,7735,1,0,0,4,1060,630,1976,1992,197000
3,2,1420,4080,1.5,0,0,3,1420,0,1905,2013,485000
5,4,4510,15175,2,0,0,3,4510,0,1969,2002,1870000
3,2.25,1980,8000,1,0,0,4,1560,420,1974,0,295000
2,1.75,1170,2400,1,0,0,4,740,430,1903,0,499000
3,2.5,2200,1970,2,0,0,3,1610,590,2008,0,1050000
3,1.5,800,8850,1,0,0,4,800,0,1959,0,191000
3,2.5,1480,1171,3,0,0,3,1480,0,2006,0,500000
5,3.75,2890,5000,1,0,0,3,1310,1580,2006,0,390000
3,2.5,2690,4047,3,0,0,3,2690,0,2014,0,979000
4,3.25,3569,8327,2,0,0,3,3569,0,2013,1923,580000
3,2,1270,1320,3,0,0,3,1270,0,2006,0,369950
5,5,4490,10279,2,0,0,3,3930,560,2013,1923,1800000
4,2.5,3040,6425,2,0,0,3,3040,0,2008,0,776000
3,2.25,1170,1249,3,0,0,3,1170,0,2014,0,519950
5,2.25,2060,8632,1,0,0,3,1030,1030,1962,2003,255000
3,1,990,6000,1,0,0,3,990,0,1943,2002,495000
4,2.5,2430,5203,2,0,0,3,2430,0,2003,0,510000
4,4,4460,103382,2,0,0,3,4460,0,2001,0,1150000
3,1.75,1250,10122,1,0,0,3,1250,0,1994,0,253000
3,2.75,1540,6760,1,0,0,5,1210,330,1980,0,503000
3,2.5,1600,7000,2,0,0,4,1600,0,1993,0,275000
3,1,1110,8423,1,0,0,3,1110,0,1952,2008,249000
3,1.75,1840,10723,1,0,0,4,1220,620,1974,0,310000
3,2.75,2520,5401,1,0,0,4,1360,1160,1946,1989,750000
3,2.5,2680,327135,2,0,0,3,2680,0,1995,0,630000
9,4.5,3830,6988,2.5,0,0,3,2450,1380,1938,2003,599999
4,2.75,2410,9549,1,0,0,4,1780,630,1956,0,758000
4,1.75,1720,10018,1,0,0,5,1720,0,1960,0,248500
3,1.75,2070,37904,1,0,0,4,1420,650,1973,0,310000
3,2,1760,9055,2,0,0,4,1760,0,1985,0,460000
3,1.75,1680,10500,1,0,0,4,1680,0,1959,0,675000
2,2,1550,2400,1.5,0,0,4,1550,0,1900,1971,526000
3,3,4120,60392,2,0,2,3,3180,940,1994,0,560000
4,3,1830,9548,2,0,0,3,1830,0,1991,0,415000
3,1,1400,7410,1,0,0,3,1400,0,1944,0,246000
3,1.75,1870,12381,1,0,0,4,1870,0,1957,2001,314500
7,4.5,6210,8856,2.5,0,2,5,4760,1450,1910,0,3200000
2,1.5,1040,3500,1.5,0,0,4,1040,0,1904,0,420000
3,1.75,2720,149410,1.5,0,0,3,2720,0,1988,2000,535000
3,1,1010,9360,1,0,0,3,1010,0,1981,2013,350000
3,1.75,1580,9147,1,0,1,4,1210,370,1967,0,515000
4,2.75,2600,6050,2,0,0,5,1960,640,1949,0,749950
3,2.5,1920,9180,2,0,0,3,1920,0,1988,2000,230000
3,2,2350,5080,1.5,0,0,3,1780,570,1929,0,568000
1,1,1100,4373,1,0,0,2,820,280,1947,0,250000
4,2,2510,13695,1,0,0,4,1280,1230,1961,2001,581000
3,2.5,3240,108366,2,0,0,4,3240,0,1991,0,651000
3,2.5,2460,108900,1,0,0,4,1860,600,1977,0,600000
2,1,1010,3885,1.5,0,0,4,1010,0,1906,1990,500000
2,1,820,2723,1,0,0,3,820,0,1921,2000,475000
5,2.5,2420,8560,1,0,2,3,1620,800,1978,0,352000
3,2.25,1770,8165,2,0,0,3,1770,0,1977,2004,420000
2,2,1350,3900,1,0,0,3,1350,0,2003,0,428000
3,1.75,1960,4788,1,0,0,4,1090,870,1920,0,599000
4,2.5,3305,16164,1.5,0,0,5,2245,1060,1922,1956,492000
2,2.25,2550,5663,1,0,0,3,1720,830,2011,0,630000
5,3.75,4130,226076,2,0,0,3,3170,960,1985,0,900000
4,1.5,2310,13300,1,0,0,3,1890,420,1950,2005,1110000
4,2,1650,5000,1,0,0,3,1650,0,1955,2005,575000
4,2.5,2650,4316,1.5,0,0,3,1520,1130,1905,2013,705000
4,2.25,1890,5940,1,0,1,3,1470,420,1963,2008,940000
3,1.75,2190,8000,1,0,0,4,2190,0,1967,0,313000
3,2.5,2030,6500,2,0,0,3,2030,0,1988,2000,618080
3,3,2270,5175,2,0,0,3,2130,140,2002,0,640000
3,2,1610,4160,1,0,0,4,1010,600,1917,0,485000
2,1,760,3001,1,0,0,3,760,0,1913,1983,300000
2,1,1640,17335,1,0,0,3,840,800,1978,0,379500
3,2.25,1630,12295,2,0,0,4,1630,0,1985,0,339950
6,2.5,3560,6480,2.5,0,0,4,3560,0,1914,1945,1500000
3,3,2960,5500,2,0,2,3,2440,520,1937,1990,1340000
3,2.5,1940,37565,1,0,0,4,1940,0,1987,0,500000
3,2,1410,7566,1,0,0,3,1410,0,1985,0,239900
3,1,1040,16986,1,0,0,4,1040,0,1968,0,314950
2,1,820,6400,1,0,0,4,820,0,1944,0,361280
2,1,910,22000,1,0,0,3,910,0,1956,2001,100000
7,5.75,3700,7647,2,0,1,3,3700,0,1948,1984,540000
4,2.5,2180,11200,1,0,0,4,2180,0,1968,0,480500
3,2.5,1600,4271,2,0,0,3,1600,0,2000,0,280000
3,1.75,1500,6180,1,0,0,4,1060,440,1947,1988,440000
3,1,1340,4284,1,0,0,3,1080,260,1910,2006,530000
3,2,1860,13374,1,0,0,3,1860,0,1985,0,560000
3,2,2540,7200,1.5,0,3,4,1600,940,1905,0,775000
2,1,1040,13100,1,0,0,5,1040,0,1912,0,160000
3,1.5,1380,11130,1,0,0,3,1380,0,1960,2012,209950
3,1.75,1640,10762,1,0,0,3,1130,510,1988,2000,226500
5,1.75,3000,6000,1,0,0,5,1500,1500,1958,0,380000
4,2.75,2140,13000,1,0,0,3,1320,820,1968,1997,409500
3,2,1760,6428,1,0,0,4,980,780,1942,1982,690000
3,2.25,1660,8307,1,0,0,4,1660,0,1961,2001,405000
3,2.5,1830,13042,2,0,0,3,1830,0,1990,2009,375000
4,2,2210,8556,1,0,1,4,1210,1000,1954,1979,794154
4,1,1490,6600,1,0,0,3,1490,0,1969,2010,185000
3,1.5,1260,1270,2,0,0,3,1040,220,2005,0,245000
5,4.5,4270,8076,2,0,0,3,3400,870,2007,0,1532500
4,3.5,3900,8391,2,0,0,3,3900,0,2006,0,1040000
2,2.5,1150,1027,3,0,0,3,1150,0,2008,0,425000
4,2.75,2656,21195,2,0,0,3,2656,0,2014,0,495000
5,2.75,2410,5003,1,0,0,3,1410,1000,2008,0,365000
3,2.25,1606,1452,3,0,0,3,1606,0,2009,0,417250
2,1,820,681,3,0,0,3,820,0,2006,0,339950
2,1,1540,6872,1,0,0,4,820,720,1946,1989,615000
3,2.75,2090,8354,2,0,0,3,2090,0,2012,1912,403000
5,2.5,3160,11470,1,0,0,4,1780,1380,1971,0,980000
4,1.75,1730,8320,1,0,0,3,1230,500,1977,2004,258000
3,1,1670,4080,1,0,0,3,1170,500,1967,2011,533000
4,2.5,2550,4630,2,0,0,3,2550,0,2005,0,537500
5,3,3040,9601,1,0,0,5,1970,1070,1968,0,830000
3,1,1250,4620,1.5,0,0,4,1150,100,1900,1971,712000
4,2.5,2020,6236,2,0,0,3,2020,0,2002,0,262000
4,2.5,2660,5500,2,0,2,3,2660,0,2003,0,753888
2,1.5,980,5000,2,0,0,3,980,0,1922,2003,134000
3,2.5,1960,8000,1,0,0,4,1290,670,1977,0,402000
2,1,720,5040,1,0,0,3,720,0,1955,2005,205000
2,2.5,1360,1349,2,0,0,3,1050,310,1997,0,553650
2,2,1870,4950,1,0,0,3,1870,0,2006,0,559950
4,1.5,2130,8800,1,0,0,3,1100,1030,1962,2003,260000
4,2.5,1810,6509,2,0,0,3,1810,0,1994,0,270000
2,1.75,2200,89298,1,0,0,3,1100,1100,1973,2013,295000
3,2.5,1690,4500,1.5,0,1,4,1690,0,1928,0,719000
3,2.5,1940,8547,1,0,0,3,1460,480,1989,0,266000
4,2.5,2320,6270,2,0,0,3,2320,0,2004,2003,325900
4,1.75,2060,26036,1,0,0,4,1160,900,1947,1988,647500
4,1,3410,5000,2,0,0,5,2190,1220,1910,0,1039000
4,2.25,2250,41688,2,0,0,3,2250,0,1980,0,569000
3,1.75,1390,7399,1,0,0,4,1390,0,1975,0,246000
2,1,1060,4960,1,0,0,3,1060,0,1926,2003,515000
3,1,1490,8995,1,0,0,4,1490,0,1954,1979,207000
4,1.75,2480,9195,1,0,0,3,1390,1090,1950,2005,780000
5,2.25,2440,20828,1.5,0,0,4,2440,0,1975,0,489990
3,1.5,2240,87625,1.5,0,0,2,1480,760,1980,0,335000
3,2.5,1920,7229,2,0,0,3,1920,0,1993,0,295000
3,1.75,1890,9920,1,0,0,3,1230,660,1944,0,385000
4,1.75,2250,13515,1,0,0,4,2150,100,1940,2001,350000
2,1,1270,3008,1,0,0,4,650,620,1923,0,235000
2,1.5,960,1808,2,0,0,3,960,0,1993,0,358000
4,2.5,3290,6465,2,0,0,3,3290,0,2002,0,716500
4,1.75,2000,6120,1,0,0,3,1100,900,1965,1993,228000
2,1,1020,8155,1,0,0,4,1020,0,1948,0,405000
4,1.75,1840,9600,1,0,0,3,1220,620,1967,2011,538000
3,1.75,1980,6760,1,0,0,4,1980,0,1973,0,530000
6,3,3510,5760,2.5,0,0,4,3510,0,1906,1990,1750000
2,1.75,1230,3600,1.5,0,0,5,1230,0,1925,0,636000
4,2.5,2280,65836,2,0,0,3,2280,0,2004,2003,535000
3,1.75,2430,12757,1,0,2,4,1340,1090,1952,0,1500000
3,2.5,2920,3942,3,0,0,3,2920,0,2008,0,868500
4,2.75,2280,2850,1.5,0,0,4,1540,740,1930,0,530000
3,2,1510,43560,1,0,0,3,1510,0,1954,2005,450000
3,1.75,950,6000,1,0,0,3,790,160,1939,1969,230000
3,2.5,1190,3000,2,0,0,3,1190,0,2002,0,229000
3,1.75,1310,9282,1,0,0,4,1310,0,1976,1992,437000
5,3.25,2800,3200,1.5,0,0,5,1910,890,1932,2002,1307000
3,2.5,1750,3354,2,0,0,4,1750,0,1991,0,595000
3,1.75,1320,5750,1.5,0,0,5,1320,0,1918,0,660000
4,2.5,2460,7350,2,0,0,3,2460,0,1989,0,347500
3,2,1240,10800,1,0,0,3,1240,0,1967,2010,297950
3,1.5,1260,7964,1,0,0,4,1260,0,1955,2009,245000
6,2.25,2820,15600,1.5,0,2,5,1970,850,1940,0,543200
4,3.25,3820,24166,2,0,1,4,3310,510,1990,0,1250000
3,2.5,1540,1614,3,0,0,3,1470,70,2008,0,413450
2,2,1550,435600,1.5,0,0,2,1550,0,1972,0,330000
3,1.75,1460,7700,1,0,0,3,1460,0,1979,2014,424500
3,1,1390,16000,1,0,0,4,1390,0,1960,2001,230000
3,3.25,2640,4080,2,0,0,3,1840,800,1912,2000,930000
3,1.75,1590,9620,1,0,0,3,1590,0,1988,2000,349000
4,2,1910,6960,1.5,0,0,5,1910,0,1941,0,835000
3,2.75,2015,16807,2,1,4,3,2015,0,2007,0,988500
3,1.75,1410,1197,3,0,0,3,1410,0,2012,1912,500000
2,1.5,1110,957,2,0,0,3,930,180,2005,0,499000
2,1.25,860,1277,2,0,0,3,860,0,2007,0,321950
3,2.5,2310,4729,2,0,0,3,2310,0,2011,0,494000
2,1.5,1020,1060,3,0,0,3,1020,0,2008,0,441750
2,1,980,1179,2,0,0,3,980,0,2010,0,438000
4,2.25,4230,37769,2,0,0,3,4230,0,1989,0,985000
3,2.25,1640,11050,1,0,0,4,1640,0,1972,0,352000
4,3.5,3810,13592,1,0,1,3,2560,1250,2013,1923,839900
4,2.75,2790,10819,2,0,0,3,2790,0,1996,0,765000
4,1.75,1750,5500,1.5,0,0,5,1050,700,1926,0,460000
4,1,1430,8355,1.5,0,0,4,1430,0,1983,0,224500
3,2.5,1850,4597,2,0,0,3,1850,0,2003,0,254000
2,1,960,28717,1,0,0,4,960,0,1984,0,255000
3,3,2480,45302,1,0,0,4,1620,860,1976,1992,610000
4,3,3750,11025,2,0,0,3,3750,0,1976,0,920000
4,2.5,2600,11951,2,0,0,3,2600,0,1988,2000,402500
3,1.75,1390,8700,1,0,3,4,840,550,1912,1989,280950
4,2.5,2260,7753,2,0,0,3,2260,0,1989,0,604000
4,2.25,2470,7447,2,0,0,3,2470,0,1984,0,565000
2,1,810,7980,1,0,0,1,810,0,1928,0,255000
4,2,1650,6000,1,0,0,5,1000,650,1959,0,445000
3,2.25,3000,11665,1.5,1,4,3,3000,0,2001,0,2400000
2,1,720,18000,1,0,0,3,720,0,1950,2005,195000
3,1.5,1390,48257,1,0,0,3,1390,0,1922,2013,275000
3,2.25,1445,1606,2,0,0,3,1300,145,2003,0,387000
2,1,1840,3300,1.5,0,0,4,1130,710,1910,0,490000
3,2.5,2100,5824,2,0,2,3,2100,0,1999,0,505000
3,1.5,1060,10464,1,0,0,4,1060,0,1973,0,303500
3,1.5,1500,6337,1,0,0,5,1500,0,1953,0,270000
4,2.75,1970,7213,1,0,0,3,1170,800,1977,2004,323000
3,3.25,1410,1253,3,0,0,3,1410,0,2005,0,382000
4,2.75,3720,9450,1,0,4,5,1960,1760,1962,0,1370000
4,2,2190,14439,1,0,0,4,1180,1010,1977,0,280000
3,2,1920,8075,1,0,0,4,1510,410,1969,0,260000
3,1,1160,8320,1,0,0,4,1160,0,1959,0,201500
4,4.25,5860,52889,2,0,0,4,4910,950,1996,0,1157200
